1,"2017-08-24,18:07:58",Top zero,topic:预定餐馆##args&api: API(地点，人数，餐馆级别，美食种类) 
2,"2017-08-24,18:08:23",I'm the owner of my choice,你好
3,"2017-08-24,18:08:42",Top zero,你好，我能为你做些什么
4,"2017-08-24,18:09:16",I'm the owner of my choice,我想预定一个高档的英国美食餐厅，我们是6个人
5,"2017-08-24,18:09:21",Top zero,我最擅长这个了？请问你是在哪个城市呢？
6,"2017-08-24,18:09:42",I'm the owner of my choice,伦敦
7,"2017-08-24,18:10:31",Top zero,好的，让我提供给你一些选择。#API（英国，伦敦，6个人，高档的）
8,"2017-08-24,18:10:34",I'm the owner of my choice,我想改成适合4个人的
9,"2017-08-24,18:10:44",Top zero,当然可以，还有其它的需要我帮忙的吗？
10,"2017-08-24,18:10:50",I'm the owner of my choice,没有了
11,"2017-08-24,18:10:57",Top zero,好的，让我提供给你一些选择。#API（英国，伦敦，4个人，高档的）
Top zero,6,I'm the owner of my choice,5
